id,related_scenes,question,answer,related_context,question_type,question_source
1,60.王子神油店夜内,程勇何时说今晚请客喝酒？,在发完钱并和黄毛对话之后,程勇异常开心：不客气，勇哥今晚请客喝酒，公司搞团建。,Temporal Reasoning,broad_coverage_scene
2,61.酒吧夜内,酒吧经理为什么跳钢管舞？,因被程勇挑衅而被迫表演,程勇：我他妈今天就要看你跳...酒吧经理似乎是非常生气：你给我等着啊,Causal-Motivational Reasoning,broad_coverage_scene
3,72.神油店夜内,程勇为何拒绝张长林的提议？,因为张长林威胁要报警并指出卖药风险高,张长林：你现在就去报，警察到处查这个药呢，你还报警，自投罗网啊，兄弟，干我们这行没想象那么简单。像你这样卖顶多半年肯定被抓，判个十年二十年的，挣那么多钱有用吗？,Causal-Motivational Reasoning,broad_coverage_scene
4,69.警察局日内,在[69.警察局日内]中，程勇为何询问卖假药的刑罚？,他可能想了解自身行为的法律后果,程勇：他要抓起来判多少年啊？,Causal-Motivational Reasoning,broad_coverage_scene
5,24.程勇家日内,"在[24.程勇家日内]中, 程勇在讨论卖药时的情绪状态如何？",狐疑和犹豫,程勇狐疑：我把药带回来，你确定能帮我卖出去吗？程勇犹豫了一下。,Character Understanding,broad_coverage_scene
6,66.教堂日内,男的为什么威胁报警？,他母亲吃程勇的药出问题,问题是我妈妈吃你们的药出的问题。,Causal-Motivational Reasoning,broad_coverage_scene
7,17.医院日内,"在[17.医院日内]中, 程勇在请求王主任时表现出什么情绪？",紧张与惊惧,程勇有些紧张与惊惧地凑过来,Character Understanding,broad_coverage_scene
8,77.车间日外,"在[77.车间日外]中, 程勇提到的印度药是谁在卖？",张长林,程勇：印度药不是张长林在卖吗,Scene Grounding,broad_coverage_scene
9,32.程勇家夜内,"在[32.程勇家夜内]中, 吕受益在对话中表现出什么状态？",胆怯,吕受益胆怯：勇哥，我上次跟你说介绍病人给你认识的，买药是犯法的。,Character Understanding,broad_coverage_scene
10,19.烧烤摊夜外,"在[19.烧烤摊夜外]中, 程勇的情绪状态如何？",无奈且若有所思,程勇无奈地喝着苦酒...拿着小卡片若有所思,Character Understanding,broad_coverage_scene
11,4. 养老院外日外,"在[4. 养老院外日外]中, 程勇当前的行为状态是什么？",从车上拿被子走向养老院,程勇从车上拿被子下来走向养老院。,Character Understanding,broad_coverage_scene
12,15.王子神油店日内,程勇为什么拒绝吕受益的请求？,担心走私药物被抓,程勇：走私药物抓到要判刑的，你知道吧,Causal-Motivational Reasoning,broad_coverage_scene
13,72.神油店夜内,张长林为什么要求程勇转让药品渠道？,因为张长林认为程勇卖药能赚很多钱，想合作,张长林：像你这样卖，一年一百来万，你把这个药的渠道给我，我给你两年的钱,Causal-Motivational Reasoning,broad_coverage_scene
14,10.律师事务所日内,程勇对前妻说了什么？,你自己没张嘴啊，找个人来帮你讲话。,程勇态度不耐烦：你自己没张嘴啊，找个人来帮你讲话。,Character Understanding,broad_coverage_scene
15,7. 浴池日内,程勇对程小澍说了什么？,我是你爹啊，手拿开，小鸡鸡长大了吗。,程勇：我是你爹啊，手拿开，小鸡鸡长大了吗。,Character Understanding,broad_coverage_scene
16,21.王子神油店夜内,"在[21.王子神油店夜内]中, 程勇在寻找吕受益电话时的状态如何？",匆忙且使用手电筒,黑暗之中，程勇匆忙地打着手电筒，经过一番寻找程勇找到吕受益的电话。,Character Understanding,broad_coverage_scene
17,35.餐馆夜内,吕受益在听到程勇的话后做了什么？,猛地抬起头来仿佛想起什么事情,吕受益猛地抬起头来仿佛想起什么事情,Scene Grounding,broad_coverage_scene
18,22.药店日内,"在[22.药店日内]中, 医生对程勇询问违禁药的态度如何？",警告的,医生用警告的态度开口：你别问药效怎么样，这种药是违禁药，如果私自服用，很多医生会拒绝治疗。,Character Understanding,broad_coverage_scene
19,7. 浴池日内,程小澍对程勇说了什么？,爸爸，疼,程小澍：爸爸，疼,Character Understanding,broad_coverage_scene
20,46.彭浩家夜内,彭浩面对程勇时表现出什么态度？,死猪不怕开水烫的样子,彭浩一副死猪不怕开水烫的样子。,Scene Grounding,broad_coverage_scene
21,32.程勇家夜内 | 46.彭浩家夜内 | 44.屠宰场日内,程勇为什么在与吕受益讨论卖药合作时提到要赶紧把药卖出去？,因为程勇已经打通了药品进货渠道，需要尽快将药品销售以维持运作并获利。,程勇告诉吕受益药品的进货渠道已经打通，以后能不断拿到药，因此需要赶紧把药卖出去。,Causal-Motivational Reasoning,broad_coverage_event_chain
22,20.王子神油店夜外 | 24.程勇家日内 | 38.餐馆夜外,程勇为什么在病友群主提出药价太贵后仍然只同意给予八折优惠，而不是进一步降价？,因为程勇认为自己已经将药价降到了两万至三万，接近成本，无法再降价，否则无法维持代购运作。,程勇表示已将药价降到两万、三万，若再嫌贵就别吃，说明降价空间已极小。,Causal-Motivational Reasoning,broad_coverage_event_chain
23,2. 街道日外 | 3. 王子神油店日内 | 40.教堂日内,程勇为什么向教会承诺提供八折购药优惠？,程勇为了推广自己销售的药品并获得教会的支持，主动提出让教会里的病人享受八折优惠。,程勇在教会聚会上表示愿意来卖药，并承诺教会里所有病人都能以八折价格买药，以此推动药品销售。,Causal-Motivational Reasoning,broad_coverage_event_chain
24,1. 王子神油店日内 | 13.王子神油店日内 | 36.酒吧夜内,程勇在见到思慧跳钢管舞时，对她健康状况的初步判断是什么？,程勇认为思慧看起来根本不像是病人。,程勇看着台上舞动的思慧，低声说她看起来根本不像是病人。,Character Understanding,broad_coverage_event_chain
25,4. 养老院外日外 | 5. 养老院日内,在程勇喂父亲吃饭的过程中，父亲表现出怎样的情绪和需求？,程勇的父亲表现出不满和不耐烦的情绪，嘴里嘟囔着，拒绝继续吃饭，并执意要香烟。,父亲嘴边挂着饭渣，嘴里嘟囔着不满，推开饭盒，反复说‘香烟’，并抬起手指着要烟。,Character Understanding,broad_coverage_event_chain
26,47.王子神油店日外,在得知程勇获得代理权后，刘牧师的神情状态是怎样的？,刘牧师的神情是平静的。,刘牧师挂断电话后，神情平静地看向程勇。,Character Understanding,broad_coverage_scene
27,10.律师事务所日内 | 11.警察局夜内,在曹斌被警员拦下并离开后，程勇表现出怎样的心理状态？,程勇表现出呆滞和沉默的心理状态，他站在墙边低着头，一言不发，也没有动作，仿佛失去了反应能力。,曹斌被警员拦下并离开后，程勇一直站在墙边，低着头，没有说话，也没有动，仿佛被定住了一般。,Character Understanding,broad_coverage_event_chain
28,1. 王子神油店日内 | 13.王子神油店日内 | 36.酒吧夜内 | 38.餐馆夜外,程勇在餐馆与病友群主开会时，为什么要求他们摘下口罩？,程勇认为戴口罩让他看不清群主们的脸，不利于交流，也不懂谁是谁，因此要求他们摘下口罩。,程勇让病友群的群主们把口罩摘下来，说看不清人，不方便交流。,Character Understanding,broad_coverage_event_chain
29,13.王子神油店日内 | 14.神油店外日外 | 32.程勇家夜内 | 46.彭浩家夜内,程勇为什么在与吕受益商议合作时提到父亲并合上行李箱？,程勇提到父亲并合上行李箱是为了暗示吕受益如果不愿意合作，他将不再提供帮助，以此施加压力迫使吕受益同意参与卖药。,程勇在威胁吕受益后看向躺在床上的父亲并合上行李箱，这一动作与他的威胁言语同步，表明他以此作为情感和现实的双重施压手段。,Causal-Motivational Reasoning,broad_coverage_event_chain
30,34.居民楼日内 | 41.车日内,为什么黄毛拿走三瓶药的行为引发了吕受益的质问？,因为黄毛没有经过允许就擅自拿走药品，破坏了吕受益有序发药和清点收入的流程。,吕受益在发药并清点卖药所得的钱，而黄毛直接打开车门拿走三瓶药离开。,Causal-Motivational Reasoning,broad_coverage_event_chain
