id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,enc6e53029ab49475dbb82bf89a57e1a42,en,19、INT. TOP LEVEL OF GREENHOUSE TOWER,What is Zarkov's objective when he tears aside the foliage and opens the capsule?,Get Dale to safety,"Zarkov tears aside a screen of foliage, revealing a mirror-bright capsule with a single door. He yanks the door open and, as explosions erupt around them, shoves Dale inside. Flash leaps in after her. The capsule remains untouched as energy bolts strike its surface. Zarkov enters and closes the door behind him.",Character Understanding
2,enc6e53029ab49475dbb82bf89a57e1a42,en,33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,What does Flash decide to do when Ming's Amazon guards advance?,Resist capture by fighting,"Ming's personal Amazon guards emerge to the sound of martial music, advancing in perfect unison toward Flash and Dale with silent intensity. Initially hesitating at the sight of female warriors, Flash is jolted into action when Dale shouts that they are not to be spared but are deadly enemies. Her words break his paralysis, and he begins fighting back as the confrontation escalates into a struggle to resist capture.",Character Understanding
3,enc6e53029ab49475dbb82bf89a57e1a42,en,18、INT. GREENHOUSE - DAY,What is Zarkov's objective upon realizing he is at the planet's core?,Confront Ming directly,"Dr. Zarkov, bound in chains, reacts sharply to Ming's echoing voice, expressing awe at being in the planet's core. As Ming confirms his location, Zarkov struggles against his restraints and searches the darkness above, signaling his intent to face Ming despite his captivity.",Character Understanding
4,enc6e53029ab49475dbb82bf89a57e1a42,en,18、INT. GREENHOUSE - DAY,What is Zarkov's objective in compelling Flash and Dale to ascend the tower?,Reach the tower's top to save Earth,"Dr. Hans Zarkov points a revolver at Flash Gordon and orders him to climb the tower stairs, with Dale Arden following. Dale recognizes him from a magazine but hesitates to speak. Zarkov confirms his identity and presses the gun into her back, reiterating his command. He shouts that Earth is under attack and that only a narrow chance to save it remains. Amidst red laser bolts striking the structure, shattering glass and igniting flames, the base of the staircase explodes as they begin running upward, with Zarkov following closely behind.",Character Understanding
5,enc6e53029ab49475dbb82bf89a57e1a42,en,33、INT. PALACE OF HALLS - SERIES OF DISSOLVES,What does Ming do when he confronts Flash and Dale in the Palace of Halls?,Demands homage from Flash and Dale,"Ming stands before the captives, asserting his authority as armored guards and unseen voices proclaim his name. He fixes Dale with an intense gaze, compelling her to approach, and when she resists, he envelops her in a golden light, touching her skin. Klytus speaks of foresight, drawing Zarkov's interest, but Ming has him seized when he steps forward. Flash attempts to intervene, prompting Ming to order his execution. Dale steps in to protect Flash, and after a moment of hesitation influenced by Aura's whispered plea, Ming shifts his command, directing that Dale be taken to his quarters instead.",Scene Grounding
6,enc6e53029ab49475dbb82bf89a57e1a42,en,5、INT. PLANE - CONTINUOUS,What initiates the interaction between Flash and Dale during the flight?,Plane experiences turbulence causing Flash to stumble,"The plane lurches violently due to turbulence, prompting Flash to lose his balance and grab the overhead rack before sitting beside Dale. This moment marks the beginning of their encounter, as he offers her a candy bar and they begin to converse, with Dale expressing her anxiety about flying and skepticism about Flash's celebrity status.",Scene Grounding
7,enc6e53029ab49475dbb82bf89a57e1a42,en,35、INT. PALACE - ON THE STAIRCASE,What action defines the moment on the palace staircase when Flash disappears?,Dale struggles against the Amazon's grip,"On the palace staircase, Dale thrashes as the Amazon restrains her, both resisting the captor and reaching toward Flash. Their fingertips nearly meet when the step beneath Flash collapses, opening a trapdoor that swallows him. Aura immediately leaps after him, and the door slams shut, leaving Dale alone in the Amazon's grasp.",Scene Grounding
8,enc6e53029ab49475dbb82bf89a57e1a42,en,18、INT. GREENHOUSE - DAY; 18、INT. GREENHOUSE - DAY,What event immediately precedes and triggers Dale's recognition of Dr. Zarkov and her doubts about his mental stability?,Flash Gordon and Dale Arden are knocked down by a storm and approach Dr. Zarkov for help,"After a sudden storm strikes, Flash Gordon and Dale Arden are thrown to the ground near Dr. Zarkov's greenhouse. As they recover and begin speaking with him, Dale recognizes Zarkov from a past media profile and grows visibly uneasy, questioning his sanity based on his erratic behavior and intense demeanor. This recognition and discomfort unfold directly after their arrival, which was precipitated by the storm knocking them down and leading them to seek shelter.",Causal-Motivational Reasoning
9,enc6e53029ab49475dbb82bf89a57e1a42,en,33、INT. PALACE OF HALLS - SERIES OF DISSOLVES; 39、INT. UNDERGROUND GROTTO,"What action by Princess Aura first establishes her influence over Flash, making her later offer of refuge in Arboria plausible?",Princess Aura emerges and fondles a beast while observing Flash,"In the Palace of Halls, Princess Aura appears from the shadows beside a crouching beast, her hand resting on its head as she locks eyes with Flash. She surveys him with bold curiosity, running her gaze over him while the creature hisses under her touch. Flash is visibly transfixed, unable to look away, until Dale jabs him and reminds him of their alliance. Aura laughs, a low and knowing sound, before gliding off toward Ming, leaving a clear impression of power and allure that precedes her later emergence from the water to guide Flash to safety in Arboria.",Causal-Motivational Reasoning
10,enc6e53029ab49475dbb82bf89a57e1a42,en,39、INT. UNDERGROUND GROTTO; 41、INT. GROTTO - HIS POV IN CAVERN - ON A CATWALK,What motivates Flash to flee with Aura while leaving Zarkov behind?,FLASH insists on rescuing Dale and Zarkov and saving Earth,"After emerging from the water and collapsing on the beach, FLASH catches his breath as AURA stands beside him in her wet robe. She tells him she will take him to the forest of Arboria and find a disguise. FLASH thanks her for saving his life, but insists his priority is to find Dale and Zarkov, rescue them, and do what he can to save Earth. This commitment drives his decision to escape with Aura, despite seeing Zarkov captured and chained by soldiers.",Causal-Motivational Reasoning
