id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,enb43327ef98f144afae56e30053028568,en,17、INT. MATT'S CAR - DAY,What does Matt aim to accomplish during the car ride with Scottie?,Secure Scottie's apology and limit Reina's influence,"Matt drives Scottie to their destination and uses the opportunity to address Scottie's behavior. He confronts him about sending hurtful messages, emphasizing the emotional impact on others and insisting on a sincere apology. Matt links Scottie's actions to his association with Reina, expressing disapproval of her influence. He sets a condition: Scottie must apologize and speak with his mother before any visit from Reina can be considered. The conversation reveals Matt's intent to hold Scottie accountable and reshape his social boundaries.",Character Understanding
2,enb43327ef98f144afae56e30053028568,en,16、INT. KING HOUSE - DAY,What does Matt intend to do after learning about Scottie's messages to Lani?,Confront Scottie about harassment,"Matt receives a call from Barb Higgins, who informs him that her daughter Lani has been targeted by offensive messages from Scottie, including a demeaning comment posted on Facebook and a mocking nickname implying Lani's size. Barb reads the message aloud and insists Scottie apologize in person, warning she will escalate to the headmaster if no action is taken. Despite Matt noting Scottie's personal struggles due to her mother's illness, Barb rejects any justification, emphasizing the emotional harm to her daughter. During the call, Matt sees Scottie outside, distracted and physically agitated, pounding the ground with a rock.",Character Understanding
3,enb43327ef98f144afae56e30053028568,en,47、INT. LIVING ROOM - DAY,What does Alexandra aim to accomplish by revealing what she saw at Black Point?,Expose her mother's infidelity,"Matt sits with Alexandra on the sofa and urges her to help inform family and friends about their mother's illness, emphasizing the importance of allowing loved ones to say goodbye. Alexandra resists, expressing reluctance to discuss her mother's condition. Matt pushes her to move past their strained relationship and act maturely. In response, Alexandra discloses that she witnessed her mother in a compromising situation with another man at Black Point, describing the man's appearance and physical contact. Matt questions the details, visibly disturbed, before abruptly leaving the room.",Character Understanding
4,enb43327ef98f144afae56e30053028568,en,20、INT. LANI'S HOUSE - CONTINUOUS,What does Scottie recognize about her past action toward Lani that shifts the moral balance in the confrontation?,She brought Lani cake first,"Inside the TV room, tensions surface as Barb Higgins criticizes Scottie for unkind words, insisting they reflect deep wrongdoing. Matt challenges this perspective by highlighting that children's actions aren't always defining, citing a past incident where Lani locked Scottie out during her birthday party. As Lani acknowledges this moment, Scottie recalls a prior gesture of kindness—bringing cake to Lani—which Matt seizes upon to argue that goodwill preceded the conflict. This recollection reframes the narrative, suggesting mutual fault and shared history rather than one-sided blame.",Character Understanding
5,enb43327ef98f144afae56e30053028568,en,46、EXT. KING SWIMMING POOL - DAY,What does Alexandra do immediately after Scottie runs back inside?,Enters the pool and floats at the edge,"After Scottie runs back inside following an outburst, Alexandra slides into the pool and swims to the other side, positioning herself at the edge with her lower body still in the water. Matt joins her shortly after, and they discuss Scottie while sitting in the pool. Alexandra suggests Matt take Scottie camping on Kaua'i, recalling that it was something her own mother did when she acted out.",Scene Grounding
6,enb43327ef98f144afae56e30053028568,en,5、INT. HOSPITAL ROOM - DAY,What does Matt do upon reflecting on his wife's condition and her living will?,Insists she will pull through,"Matt stands by his wife’s bedside, observing her unconscious state after twenty-three days in a coma. He contemplates the doctors’ upcoming decision about her care and recalls her living will, which limits his authority. Despite this, he internally asserts that she will recover. Shortly after, his phone rings with an urgent message about his daughter.",Scene Grounding
7,enb43327ef98f144afae56e30053028568,en,46、EXT. KING SWIMMING POOL - DAY,What occurs when Matt delivers the news about Alexandra's mother at the swimming pool?,Matt informs Alexandra of her mother's impending death,"At the swimming pool, Matt tells Alexandra that her mother will not wake up and that medical care will be withdrawn according to her will. Alexandra initially remains silent, submerges herself underwater in distress, then surfaces, climbs out, and begins to cry. When Matt moves to comfort her, she questions his motives and ultimately rejects his embrace, walking back into the house alone.",Scene Grounding
8,enb43327ef98f144afae56e30053028568,en,46、EXT. KING SWIMMING POOL - DAY; 46、EXT. KING SWIMMING POOL - DAY,What action by Matt creates the conditions for his conversation with Alexandra by the pool?,Matt demands Scottie apologize sincerely,"During a car ride, Matt confronts Scottie about his hurtful messages, insisting he apologize sincerely and stop the behavior, which has caused someone to cry. He links Scottie’s actions to Reina’s influence and refuses to allow her to visit unless Scottie apologizes and speaks with his mother. This confrontation sets the stage for the later scene by the pool, where Matt and Alexandra reflect on Scottie’s behavior and Matt’s role in addressing it.",Causal-Motivational Reasoning
9,enb43327ef98f144afae56e30053028568,en,45、INT. KING KITCHEN - DAY; 47、INT. LIVING ROOM - DAY,What prompts Alexandra to reveal her mother's affair during her confrontation with Matt?,Matt comments on her condition and hesitates to speak further in front of Scottie,"In the kitchen, Matt observes Alexandra's disheveled appearance and remarks that she seems hungover, then begins to say he doesn’t know where to start before pausing, glancing at Scottie, and deciding not to continue the conversation in front of the child. This moment of withheld communication and judgment fuels Alexandra’s emotional tension, which later erupts when Matt pressures her to help inform family about her mother’s illness, leading her to disclose the affair as a way to assert the depth of the rift she feels.",Causal-Motivational Reasoning
10,enb43327ef98f144afae56e30053028568,en,3、INT. HOSPITAL ROOM - DAY; 11、INT. HOSPITAL STAIRWAY - DAY,What event motivates Matt's private moment of envisioning a renewed life with Elizabeth as he climbs the hospital stairs?,Elizabeth King suffers head injury and near-drowning in powerboat accident,"In the hospital room, Matt sits beside his comatose wife, Elizabeth, who remains unresponsive 23 days after being thrown from a powerboat during a race. She sustained a severe head injury and nearly drowned, leaving her in a deep coma with minimal neurological response. Surrounded by medical equipment and the quiet hum of life support, Matt confronts the fragility of her condition. Later, as he ascends the hospital stairs, he speaks aloud of her recovery and their shared future, imagining a reconciliation that hinges on the possibility of her awakening from this trauma-induced state.",Causal-Motivational Reasoning
