id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,41、INT. CHUCK'S HOUSE - LATER,What is Chuck trying to achieve when Chuck chuck lies in bed and turns on the TV?,Act on his need to reconnect with Kelly,"Chuck lies in bed and turns on the TV, but it doesn't help. He gets up, ignoring how late it is, and leaves his apartment to find Kelly. [Chuck Decides to Find Kelly]",Character Understanding
2,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,39、INT. CHUCK'S HOUSE - MOMENTS LATER,What is Chuck's objective when the aquarium filter resumes functioning?,Remove dead fish from tank,"After the filter sputters back to life, Chuck notices two fish floating motionless on the surface of the tank. He picks up a scoop and carefully skims them out of the water, moving slowly as he lifts each one from the tank.",Character Understanding
3,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,20、INT. FEDEX OFFICES - DAY,What does Chuck's reaction to the missed package reveal about his attitude toward responsibility in the sorting facility?,He takes personal responsibility to recover the package and ensure systemic flaws are corrected.,"Chuck notices a package stuck behind the sorting table and retrieves it, expressing concern about the potential consequences of its delay. He questions what it might contain—emphasizing high-stakes possibilities like a child's toy or a life-saving kidney—implying that every package carries real human weight. After he retrieves it, a sorter adjusts the table to prevent future oversights. Chuck's sharp look at Yuri following the translator's comment about staffing issues indicates he holds operational standards in high regard and is attentive to accountability [Chuck Finds a Missed Package and Fixes Table Placement].",Character Understanding
4,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,34、INT. MD-11 - NIGHT,Why does Stan bring up Chuck's unused vacation days after seeing the sailboat image?,"Chuck once chartered a sailboat with Kelly, revealing a past life he no longer engages in.","Stan observes the sailboat image on Chuck's PowerBook and notes the unused vacation days, prompting a comment that leads to Chuck revealing he once chartered a ketch with Kelly but no longer takes vacations.",Character Understanding
5,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,46、INT. XEROX ROOM,What happens when Kelly intervenes in the Xerox room?,Kelly pulls Chuck away from the Xerox machine,"Chuck is attempting to fix a jammed Xerox machine, his hands stained with toner, when Kelly enters and pulls him away. She questions him about his recent trip to Russia, pressing him to open up. Chuck expresses defeat, admitting he couldn’t fix the machine or make sense of his experience abroad. Kelly observes his disoriented state and, after a moment, tells him to come with her.",Scene Grounding
6,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,20、INT. FEDEX OFFICES - DAY,What action initiates the team inspection in the FedEx offices?,Chuck presents delivery time discrepancy to staff,"Chuck opens the performance review by highlighting systemic inefficiencies and emphasizing team interdependence, then leads a walkthrough of the sorting area to identify operational flaws. The episode centers on establishing collective responsibility and on-site assessment to diagnose workflow issues, with Yuri following Chuck with a clipboard during the inspection.",Scene Grounding
7,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,32、INT. MD-11 - MOMENTS LATER,What action initiates the interaction between Stan and Chuck in the aircraft scene?,Stan boards the aircraft and joins Chuck,"Stan enters the MD-11 and takes a seat beside Chuck, beginning their conversation with familiar greetings. He asks about Chuck's recent trip, and they discuss operational decisions, including a delayed connection Stan had to manage. Their dialogue reveals tension around priorities—Chuck emphasizes individual deliveries and people, while Stan focuses on systemic efficiency and network integrity.",Scene Grounding
8,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,44、INT. LAB - NIGHT; 46、INT. XEROX ROOM,What prompts Chuck to help Kelly with the Xerox machine when he returns?,Chuck enters the room and asks about Kelly Frears,"Chuck arrives in the lab late at night and inquires about Kelly Frears’ whereabouts. One of the doctoral candidates silently directs him toward the Xerox room, establishing his intent to find her. This moment directly precedes his entrance into the Xerox room, where he immediately begins troubleshooting the jammed machine upon seeing her struggle, indicating that his purpose in seeking her out motivates his subsequent action.",Causal-Motivational Reasoning
9,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,46、INT. XEROX ROOM; 46、INT. XEROX ROOM,"In [46、INT. XEROX ROOM], what event immediately before Chuck's breakdown explains why Kelly pulls him away from the Xerox machine?",Kelly reveals her manuscript is stuck in the Xerox machine,"In the Xerox room, Kelly discovers her final chapter is jammed inside the machine and calls for Chuck’s help. He begins repairing it, focused and methodical, despite her attempts to divert his attention. As he struggles with the mechanism, his hands become stained with toner and he grows increasingly fatigued, signaling his emotional and physical strain. This moment of mechanical failure becomes a proxy for his unraveling, prompting Kelly to intervene just before he confesses the collapse of his mission in Russia. [scene: INT. XEROX ROOM]",Causal-Motivational Reasoning
10,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,41、INT. CHUCK'S HOUSE - LATER; 44、INT. LAB - NIGHT,What action directly prompts Chuck's decision to seek out Kelly Frears later that night?,Chuck switches on the TV while lying in bed,"After lying in bed and turning on the TV without finding relief, Chuck gets up despite the late hour and leaves his apartment, setting in motion his search for Kelly. This leads him to the lab, where he eventually asks two doctoral candidates if they have seen Kelly Frears, one of whom silently directs him toward the Xerox machine.",Causal-Motivational Reasoning
11,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,21、EXT. ST. PETERSBURG - DAY - MOMENTS LATER; 25、INT. FEDEX OFFICES - ST. PETERSBURG - SERIES OF SHOTS,What event immediately motivates Chuck's decision to clean the site and reorganize the workflow at the St. Petersburg FedEx office?,FedEx truck departs from FedEx office,"As the FedEx truck leaves the office with Chuck aboard, he observes graffiti-covered walls around the facility. This moment of exposure to the disordered environment prompts him to take action upon arrival back at the site, leading directly to his initiative to clean the walls and restructure the sorting process.",Causal-Motivational Reasoning
12,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,39、INT. CHUCK'S HOUSE - MOMENTS LATER; 39、INT. CHUCK'S HOUSE - MOMENTS LATER,What prompts Chuck to apologize to the fish he removes from the tank?,Chuck discovers two dead fish in the tank,"After the aquarium filter resumes functioning, Chuck notices two fish floating motionless on the water's surface. He uses a scoop to carefully remove them, handling each one deliberately as he lifts it from the tank. Shortly afterward, as he performs the same action, he quietly expresses regret, speaking an apology repeatedly in a subdued tone.",Causal-Motivational Reasoning
13,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,29、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER; 26、INT. FEDEX WAREHOUSE - ST. PETERSBURG - WEEK LATER,What prior action by Chuck enables him to delay the final truck departure with confidence in the warehouse?,Office staff collaborates on package sorting under Chuck's leadership,"In the office, Chuck directs the team with precision, correcting routing errors and organizing container assignments as the staff works together under his guidance. This coordinated effort establishes his role as an effective leader whose instructions are followed, setting the stage for his later authority in the warehouse where he pauses the final truck loading to ensure completeness, relying on the teamwork he previously cultivated.",Causal-Motivational Reasoning
14,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,24、INT. HOTEL ROOM - NIGHT - LATER; 46、INT. XEROX ROOM,"By the time Kelly greets Chuck upon his return, what must have already taken place for the moment to make narrative sense?",Chuck listens to Kelly's voicemail message,"Before Kelly greets Chuck upon his return in the Xerox room, Chuck has already listened to Kelly's voicemail message in his hotel room late at night, a moment that informs his emotional state and decisions leading up to their reunion. The narrative relies on this prior event being resolved before the greeting can occur with full context.",Temporal Reasoning
15,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,22、INT. TRUCK - MOMENTS LATER; 30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,"By the time the team celebrates the last container being loaded, what has Chuck already noticed about Lev's work?",Lev's organized approach to package handling,"Earlier in the sequence, during a moment aboard the truck, Chuck observes how meticulously Lev manages the packages, noting his systematic and efficient method. This observation precedes the team's celebration at the St. Petersburg FedEx offices, where the final container is confirmed loaded, establishing Lev's reliability as a key contributor to the operation's success.",Temporal Reasoning
16,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,245、EXT. RAFT - DAY - LATER; 545、EXT. RAFT - DAY - LATER,How does the Great Frigate Bird's treatment of the booby remain consistent from the earlier to the later raft scene?,The Great Frigate Bird continues to act as a predatory adversary by harassing the booby to steal its fish,"Across both scenes, the Great Frigate Bird is shown aggressively targeting the booby, using swooping and pursuit to force it to drop its catch. In the first instance, this behavior establishes a predatory dynamic, and in the later scene, the same pattern of harassment and theft is repeated, confirming an ongoing exploitative relationship driven by the frigate bird's kleptoparasitic instincts.",Role-Relation Continuity
17,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,20、INT. FEDEX OFFICES - DAY; 20、INT. FEDEX OFFICES - DAY; 20、INT. FEDEX OFFICES - DAY,What pivotal action sets in motion Chuck's direct intervention in operational failures and team accountability?,Initiate team accountability and inspection,"In the office during the day, Chuck establishes a new protocol of team oversight and facility inspections, marking a shift from passive management to active involvement. This action directly precedes and triggers a series of corrective measures, including resolving a missed package, confronting performance excuses, and addressing international facility issues. [20、INT. FEDEX OFFICES - DAY]",Narrative Progression
18,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,46、INT. XEROX ROOM; 46、INT. XEROX ROOM; 24、INT. HOTEL ROOM - NIGHT - LATER,What pivotal event shifts the momentum of the narrative leading into the sequence where Kelly confronts Chuck about his past and interrupts his routine?,Kelly Pulls Chuck Away From the Machine,"In the Xerox room, Kelly physically intervenes to stop Chuck from retreating into his habitual patterns, marking a decisive moment that disrupts the status quo and propels the story into a series of direct confrontations about his history, including his trip to Russia and unacknowledged messages. This intervention serves as the catalyst for the ensuing emotional disclosures and escalating tension between them. [46、INT. XEROX ROOM]",Narrative Progression
19,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,44、INT. LAB - NIGHT; 45、INT. HALLWAY - NIGHT; 47、INT. KELLY'S OFFICE - MOMENTS LATER,"What pivotal event initiates the sequence in which Chuck approaches the Xerox machine, intimacy develops between Chuck and Kelly, and they ultimately repair the machine together?",Chuck Asks About Kelly Frears,"In the lab at night, Chuck inquires about Kelly Frears, marking a shift from passive awareness to active interest. This moment sets in motion a chain of interactions where Chuck seeks out Kelly at the Xerox machine, physical intimacy begins as she licks toner from his fingers, they move onto the desk, and eventually collaborate to fix the malfunctioning machine, transforming their relationship from distant coworkers to intimate collaborators.",Narrative Progression
20,ene827f5ab63c84c2eb5d32f6d149e9b5d,en,41、INT. CHUCK'S HOUSE - LATER; 46、INT. XEROX ROOM; 49、EXT. FEDEX OFFICES - NEXT MORNING,What pivotal decision shifts the narrative trajectory toward Chuck seeking out Kelly and arriving at the office park?,Chuck Decides to Find Kelly,"In the aftermath of growing tension and personal reckoning, Chuck makes a definitive choice to locate Kelly, setting into motion a chain of events that leads him to the office park and prompts inquiries about her whereabouts. This decision marks the first active step in his pursuit, transforming passive concern into direct action. [scene: INT. CHUCK'S HOUSE - LATER]",Narrative Progression
