id,movie_id,language,related_scenes,question,answer,evidence_or_reason,question_type
1,en8549e3d0b5db47a98dea7624fcdf2a0c,en,26、INT. E BLOCK - DAY,What does Percy's aggressive pursuit of the mouse reveal about his underlying objective?,Assert dominance through cruelty,"A low, static shot shows the green floor stretching out before the camera. Harry and Bill Dodge are at the desk in the background, filling out paperwork and handling files. Percy stands nearby, idling, softly whistling as he combs his hair. A small mouse enters the frame, moving steadily along the Green Mile toward Percy. The inmates watch silently as it passes, including Coffey and Del. When the mouse appears near him, Percy initially freezes, then slowly reaches for his baton. After missing a violent strike, he chases the mouse across the floor, roaring and stomping, ultimately failing to catch it before it escapes under the restraint room door. His reaction escalates into furious threats and physical outbursts, revealing a need to exert control.",Character Understanding
2,en8549e3d0b5db47a98dea7624fcdf2a0c,en,48、INT. BEDROOM - MORNING,"After the intimate moment with Paul, what does Jan immediately press him about?",His failure to attend a scheduled doctor's visit,"Jan notices a pattern of avoidance in Paul's behavior and directly questions him about his health choices after their physical intimacy [scene: After an intimate moment, Jan catches her breath and looks over at Paul].",Character Understanding
3,en8549e3d0b5db47a98dea7624fcdf2a0c,en,44、INT. E BLOCK - DAY,What motivates Paul's movement toward Coffey after the others have left?,To reach Coffey despite his pain,"After the others leave, Paul collapses on the Mile, writhing in pain from a groin injury and fever. Drenched in sweat and gasping, he struggles to move. Hearing Coffey's urgent call from his cell, Paul forces himself to stand, leans against the wall, and takes slow, labored steps down the block toward Coffey.",Character Understanding
4,en8549e3d0b5db47a98dea7624fcdf2a0c,en,22、EXT. FIELD - DAY (FLASHBACK),What is Hal's primary concern in initiating the conversation with Paul?,Addressing backlash over Percy's removal,"Warden Hal Moores approaches Paul on the bleachers to discuss a complaint from the governor’s wife about Paul removing Percy Wetmore from duty. While Hal shares personal worries about his wife’s deteriorating health, he shifts focus to the political pressure he is facing due to Percy’s removal, emphasizing Percy’s connection to the governor’s wife and the need for Paul to maintain order until Percy’s transfer to Briar Ridge.",Character Understanding
5,en8549e3d0b5db47a98dea7624fcdf2a0c,en,16、INT. E BLOCK (THE GREEN MILE) - DAY,What action does Paul take to assess Coffey's demeanor before placing him in the cell?,Paul checks Coffey for potential trouble before cell entry,"As the guards lead John Coffey down the Green Mile, Paul steps forward to evaluate whether Coffey poses any threat. He asks Coffey directly if he will cause trouble, observes his quiet and cooperative response, and proceeds with the intake process. This moment establishes Paul's cautious but humane approach to new inmates, setting the tone for Coffey's integration into E Block.",Scene Grounding
6,en8549e3d0b5db47a98dea7624fcdf2a0c,en,26、INT. E BLOCK - DAY,What action takes place as Paul and the guards move through the corridor after Percy's search?,navigate the cluttered corridor,"After Percy's frantic search through the restraint room fails to find the mouse, Paul and the guards proceed down the corridor, stepping around overturned chairs and scattered papers. Brutal mutters sarcastically, feigning sorrow over Percy's misfortune, while Harry confronts Percy for going too far and unsettling the inmates. Brutal steps forward aggressively but is blocked by the others. Percy remains defiant, insisting the block is soft, until Paul delivers a firm warning that no one is permitted to threaten another officer.",Scene Grounding
7,en8549e3d0b5db47a98dea7624fcdf2a0c,en,26、INT. E BLOCK - DAY,What action initiates the confrontation between Percy and the mouse on the Green Mile?,Mouse walks along the Green Mile toward Percy,"A small mouse enters the block, moving steadily along the Green Mile directly toward Percy, who is idly combing his hair and whistling. The mouse draws the attention of the guards and inmates alike, creating a moment of quiet fascination until Percy reacts violently, marking the start of his aggressive pursuit.",Scene Grounding
8,en8549e3d0b5db47a98dea7624fcdf2a0c,en,44、INT. E BLOCK - DAY; 44、INT. E BLOCK - DAY,What event directly enables Paul to move without pain during his walk on the Mile?,John Coffey heals Paul by removing his illness through touch,"In a pivotal moment on the E Block, Coffey reaches through the cell bars and places his hand on Paul, transferring a surge of energy that eradicates Paul's physical ailment. As the illness leaves Paul's body, Coffey visibly deteriorates, gagging and expelling a dark, insect-like mass that dissolves into light. Paul, stunned and pain-free, realizes he has been healed, while Coffey collapses from the exertion. This act of healing fundamentally alters Paul's physical state, setting the stage for his subsequent ease of movement and renewed vitality observed during his walk on the Mile.",Causal-Motivational Reasoning
9,en8549e3d0b5db47a98dea7624fcdf2a0c,en,44、INT. E BLOCK - DAY; 44、INT. E BLOCK - DAY,"In [44、INT. E BLOCK - DAY], what event immediately before Coffey heals Paul explains why Coffey becomes physically overwhelmed during the healing?",Paul collapses in pain on the Green Mile after others leave,"After the other guards leave, Paul suffers a severe flare-up of his urinary infection, collapsing on the Green Mile in intense pain and fever. He struggles to his feet and limps toward Coffey's cell, where Coffey reaches out, draws the illness from him, and is visibly poisoned by the sickness, gagging and expelling a dark mass before collapsing in exhaustion. The physical toll on Coffey directly follows the transfer of Paul's ailment, which had left Paul incapacitated moments earlier.",Causal-Motivational Reasoning
10,en8549e3d0b5db47a98dea7624fcdf2a0c,en,26、INT. E BLOCK - DAY; 26、INT. E BLOCK - DAY,What action directly prompts Paul to order Percy to clean up the mess on the Green Mile?,Percy searches frantically for the mouse in the restraint room,"After the mouse escapes into the restraint room, Percy forces his way in and violently ransacks the space, overturning furniture, scattering papers, and disrupting the block's order. His uncontrolled outburst culminates in a scene of chaos, with debris strewn across the floor. In the aftermath, Paul asserts authority by instructing Percy to clean up the disorder he caused, restoring discipline without confrontation.",Causal-Motivational Reasoning
